Country Code,Name,Year,Labour_Force,Fertility_Rate,Continent
COG,"Congo, Rep.",2005,66.83200073,4.829,Africa
COG,"Congo, Rep.",2010,66.90799713,4.765,Africa
COG,"Congo, Rep.",2015,66.70400238,4.587,Africa
COG,"Congo, Rep.",2020,64.16200256,4.321,Africa
COL,Colombia,1990,51.19800186,3.082,South America
COL,Colombia,1995,53.60200119,2.862,South America
COL,Colombia,2000,53.49300003,2.572,South America
COL,Colombia,2005,51.34000015,2.263,South America
COL,Colombia,2010,55.39300156,1.992,South America
COL,Colombia,2015,58.18799973,1.863,South America
COL,Colombia,2020,50.26699829,1.771,South America
COM,Comoros,1990,31.22299957,6.412,Africa
COM,Comoros,1995,31.36800003,5.835,Africa
COM,Comoros,2000,31.86599922,5.384,Africa
COM,Comoros,2005,32.36800003,5.042,Africa
COM,Comoros,2010,32.49100113,4.754,Africa
COM,Comoros,2015,32.69599915,4.419,Africa
COM,Comoros,2020,31.91399956,4.073,Africa
CPV,Cabo Verde,1990,41.17699814,5.392,Africa
CPV,Cabo Verde,1995,42.56200027,4.505,Africa
CPV,Cabo Verde,2000,44.15499878,3.539,Africa
CPV,Cabo Verde,2005,45.56600189,2.933,Africa
CPV,Cabo Verde,2010,47.38700104,2.581,Africa
CPV,Cabo Verde,2015,50.34199905,2.385,Africa
CPV,Cabo Verde,2020,45.35499954,2.213,Africa
CRI,Costa Rica,1990,32.75600052,3.264,North America
CRI,Costa Rica,1995,35.4070015,2.85,North America
CRI,Costa Rica,2000,38.42699814,2.363,North America
CRI,Costa Rica,2005,44.57600021,2.016,North America
CRI,Costa Rica,2010,43.94100189,1.885,North America
CRI,Costa Rica,2015,47.65999985,1.806,North America
CRI,Costa Rica,2020,46.50099945,1.721,North America
CUB,Cuba,1990,37.98099899,1.714,North America
CUB,Cuba,1995,34.7820015,1.58,North America
CUB,Cuba,2000,36.83200073,1.603,North America
CUB,Cuba,2005,39.29600143,1.573,North America
CUB,Cuba,2010,41.90499878,1.647,North America
CUB,Cuba,2015,42.34700012,1.674,North America
CUB,Cuba,2020,39.71099854,1.59,North America
CYP,Cyprus,1990,41.9090004,2.411,Asia
CYP,Cyprus,1995,45.1269989,2.124,Asia
CYP,Cyprus,2000,48.68000031,1.716,Asia
CYP,Cyprus,2005,52.89099884,1.52,Asia
CYP,Cyprus,2010,57.58499908,1.424,Asia
CYP,Cyprus,2015,57.50899887,1.354,Asia
CYP,Cyprus,2020,56.41400146,1.313,Asia
CZE,Czechia,1990,52.37599945,1.9,Europe
CZE,Czechia,1995,52.33200073,1.28,Europe
CZE,Czechia,2000,51.50299835,1.15,Europe
CZE,Czechia,2005,50.66899872,1.29,Europe
CZE,Czechia,2010,49.3219986,1.51,Europe
CZE,Czechia,2015,51.24700165,1.57,Europe
CZE,Czechia,2020,51.82300186,1.71,Europe
DEU,Germany,1990,45.35200119,1.45,Europe
DEU,Germany,1995,47.69800186,1.25,Europe
DEU,Germany,2000,48.8730011,1.38,Europe
DEU,Germany,2005,51.1230011,1.34,Europe
DEU,Germany,2010,53.04100037,1.39,Europe
DEU,Germany,2015,54.71900177,1.5,Europe
DEU,Germany,2020,56.83800125,1.53,Europe
DJI,Djibouti,1990,14.22299957,6.073,Africa
DJI,Djibouti,1995,14.59399986,5.352,Africa
DJI,Djibouti,2000,15.07499981,4.484,Africa
DJI,Djibouti,2005,15.80700016,3.867,Africa
DJI,Djibouti,2010,16.85000038,3.3,Africa
DJI,Djibouti,2015,17.43300056,2.912,Africa
DJI,Djibouti,2020,17.1420002,2.627,Africa
DNK,Denmark,1990,61.43700027,1.67,Europe
DNK,Denmark,1995,57.45899963,1.8,Europe
DNK,Denmark,2000,60.21699905,1.77,Europe
DNK,Denmark,2005,60.38700104,1.8,Europe
DNK,Denmark,2010,58.84500122,1.87,Europe
DNK,Denmark,2015,56.72999954,1.71,Europe
DNK,Denmark,2020,57.7519989,1.67,Europe
DOM,Dominican Republic,1990,35.11299896,3.411,North America
DOM,Dominican Republic,1995,37.11500168,3.101,North America
DOM,Dominican Republic,2000,39.68899918,2.839,North America
DOM,Dominican Republic,2005,39.67599869,2.653,North America
DOM,Dominican Republic,2010,41.59400177,2.503,North America
DOM,Dominican Republic,2015,48.09600067,2.405,North America
DOM,Dominican Republic,2020,47.34899902,2.299,North America
DZA,Algeria,1990,10.92300034,4.726,Africa
DZA,Algeria,1995,11.64700031,3.448,Africa
DZA,Algeria,2000,12.39999962,2.514,Africa
DZA,Algeria,2005,13.22099972,2.496,Africa
DZA,Algeria,2010,14.17800045,2.86,Africa
DZA,Algeria,2015,16.29999924,3.043,Africa
DZA,Algeria,2020,15.44499969,2.942,Africa
ECU,Ecuador,1990,47.06100082,3.744,South America
ECU,Ecuador,1995,47.99900055,3.403,South America
ECU,Ecuador,2000,50.62099838,3.102,South America
ECU,Ecuador,2005,51.86100006,2.8,South America
ECU,Ecuador,2010,47.96900177,2.615,South America
ECU,Ecuador,2015,51.88100052,2.499,South America
ECU,Ecuador,2020,48.29299927,2.38,South America
EGY,"Egypt, Arab Rep.",1990,22.27300072,4.58,Africa
EGY,"Egypt, Arab Rep.",1995,21.86300087,3.844,Africa
EGY,"Egypt, Arab Rep.",2000,20.5340004,3.34,Africa
EGY,"Egypt, Arab Rep.",2005,20.54899979,3.019,Africa
EGY,"Egypt, Arab Rep.",2010,23.2329998,3.233,Africa
EGY,"Egypt, Arab Rep.",2015,22.84799957,3.436,Africa
EGY,"Egypt, Arab Rep.",2020,15.42300034,3.236,Africa
ESP,Spain,1990,32.47100067,1.36,Europe
ESP,Spain,1995,36.77700043,1.16,Europe
ESP,Spain,2000,40.66799927,1.22,Europe
ESP,Spain,2005,46.50099945,1.33,Europe
ESP,Spain,2010,52.1609993,1.37,Europe
ESP,Spain,2015,53.13399887,1.33,Europe
ESP,Spain,2020,51.61299896,1.23,Europe
EST,Estonia,1990,66.64399719,2.05,Europe
EST,Estonia,1995,57.91600037,1.38,Europe
EST,Estonia,2000,52.63800049,1.36,Europe
EST,Estonia,2005,53.59500122,1.52,Europe
EST,Estonia,2010,55.08599854,1.72,Europe
EST,Estonia,2015,55.91400146,1.58,Europe
EST,Estonia,2020,57.55899811,1.58,Europe
ETH,Ethiopia,1990,66.59400177,7.246,Africa
ETH,Ethiopia,1995,67.35399628,6.991,Africa
ETH,Ethiopia,2000,71.10500336,6.543,Africa
ETH,Ethiopia,2005,74.58799744,5.812,Africa
ETH,Ethiopia,2010,74.39299774,5.136,Africa
ETH,Ethiopia,2015,74.46800232,4.565,Africa
ETH,Ethiopia,2020,71.02899933,4.049,Africa
FIN,Finland,1990,58.98099899,1.78,Europe
FIN,Finland,1995,56.24900055,1.81,Europe
FIN,Finland,2000,56.18799973,1.73,Europe
FIN,Finland,2005,56.74900055,1.8,Europe
FIN,Finland,2010,56.00799942,1.87,Europe
FIN,Finland,2015,55.59500122,1.65,Europe
FIN,Finland,2020,55.25,1.37,Europe
FJI,Fiji,1990,39.5,3.398,Oceania
FJI,Fiji,1995,39.4090004,3.276,Oceania
FJI,Fiji,2000,37.74700165,3.09,Oceania
FJI,Fiji,2005,34.83399963,2.846,Oceania
FJI,Fiji,2010,43.73899841,2.752,Oceania
FJI,Fiji,2015,39.80099869,2.8,Oceania
FJI,Fiji,2020,37.95700073,2.729,Oceania
FRA,France,1990,46.62200165,1.77,Europe
FRA,France,1995,48.16600037,1.74,Europe
FRA,France,2000,49.06600189,1.89,Europe
FRA,France,2005,50.45600128,1.94,Europe
FRA,France,2010,51.45500183,2.03,Europe
FRA,France,2015,51.5870018,1.96,Europe
FRA,France,2020,50.62200165,1.83,Europe
GAB,Gabon,1990,38.37400055,5.442,Africa
GAB,Gabon,1995,38.23099899,5.016,Africa
GAB,Gabon,2000,38.43999863,4.533,Africa
GAB,Gabon,2005,38.9620018,4.251,Africa
GAB,Gabon,2010,39.56800079,4.146,Africa
GAB,Gabon,2015,39.95500183,4.064,Africa
GAB,Gabon,2020,39.00099945,3.869,Africa
GBR,United Kingdom,1990,52.49700165,1.83,Europe
GBR,United Kingdom,1995,52.56200027,1.71,Europe
GBR,United Kingdom,2000,54.19300079,1.64,Europe
GBR,United Kingdom,2005,55.38999939,1.76,Europe
GBR,United Kingdom,2010,56.05599976,1.92,Europe
GBR,United Kingdom,2015,57.1969986,1.8,Europe
GBR,United Kingdom,2020,58.60300064,1.56,Europe
GEO,Georgia,1990,57.20299911,2.18,Asia
GEO,Georgia,1995,59.86100006,1.879,Asia
GEO,Georgia,2000,55.00099945,1.608,Asia
GEO,Georgia,2005,55.84700012,1.664,Asia
GEO,Georgia,2010,55.67699814,1.911,Asia
GEO,Georgia,2015,58.88800049,2.05,Asia
GEO,Georgia,2020,50.73300171,2.046,Asia
GHA,Ghana,1990,76.42199707,5.602,Africa
GHA,Ghana,1995,74.78600311,5.168,Africa
GHA,Ghana,2000,72.58999634,4.826,Africa
GHA,Ghana,2005,70.16500092,4.49,Africa
GHA,Ghana,2010,67.62400055,4.273,Africa
GHA,Ghana,2015,64.98100281,4.041,Africa
GHA,Ghana,2020,64.65699768,3.765,Africa
GIN,Guinea,1990,63.42699814,6.598,Africa
GIN,Guinea,1995,63.0909996,6.391,Africa
GIN,Guinea,2000,62.9109993,6.082,Africa
GIN,Guinea,2005,62.78699875,5.729,Africa
GIN,Guinea,2010,63.00699997,5.336,Africa
GIN,Guinea,2015,63.4090004,4.933,Africa
GIN,Guinea,2020,61.48699951,4.552,Africa
GRC,Greece,1990,35.14300156,1.39,Europe
